webpageID,og:type,salestype,country,language,categorypath,tooltip,ui-tabs-panel
000003_,category,parent_product_category,us,en,all-products, , 
000004_,category,product_category,us,en,desktops, , 
000005_,document, , ,en,document_, , 
000006_,category,product_category,us,en,laptops, , 
000007_,category,product_category,us,en,enterprise-products, , 
000008_,document, , ,en,document_, , 
000009_,category,product_category,us,en,laptops, , 
000011_,category,product_category,us,en,laptops, , 
000012_,category,product_category,us,en,enterprise-products, , 
000015_,document, , ,en,document_, , 
000018_,category,franchise,us,en,laptops, , 
000019_,category,product_category,us,en,enterprise-products, , 
000020_,category,parent_product_category,us,en,all-products, , 
000022_,category,franchise,us,en,enterprise-products, , 
000023_,category,franchise,us,en,desktops, , 
000024_,category,product_category,us,en,desktops, , 
000025_,category,config_category,us,en,deals, , 
000027_,category,product_category,uk,en,laptops, , 
000028_,category,franchise,us,en,desktops, , 
000035_,category,product_category,us,en,enterprise-products, , 
000036_,category,parent_product_category,us,en,all-products, , 
000038_,category,franchise,us,en,laptops, , 
000041_,category,franchise,us,en,enterprise-products, , 
000043_,category,parent_product_category,us,en,all-products, , 
000045_,document, , ,en,document_, , 
000046_,product,franchise,us,en,enterprise-products, , 
000049_,product,franchise,us,en,desktops, , 
000050_,category,product_category,uk,en,desktops, , 
000051_,category,config_category,us,en,deals, , 
000052_,category,product_category,us,en,enterprise-products, , 
000053_,category,parent_product_category,us,en,all-products, , 
000054_,document, , ,en,document_, , 
000055_,category,product_category,us,en,enterprise-products, , 
000056_,category,product_category,uk,en,enterprise-products, , 
000059_,category,product_category,us,en,other-product, , 
000062_,product,franchise,us,en,laptops, , 
000063_,category,franchise,us,en,laptops, , 
000065_,document, , ,en,document_, , 
000067_,category,product_category,us,en,enterprise-products, , 
000069_,product,franchise,us,en,laptops, , 
000071_,product,franchise,us,en,enterprise-products, , 
000072_,category,config_category,us,en,deals, , 
000075_,product,franchise,us,en,desktops, , 
000077_,category,product_category,us,en,enterprise-products, , 
000078_,category,product_category,us,en,enterprise-products, , 
000079_,product,franchise,us,en,laptops, , 
