webpageID,og:type,pagetype,salestype,country,language
000051_,category,category,config_category,us,en
000075_,product,product,franchise,us,en
000087_,category,category,parent_product_category,us,en
000131_,product,product,franchise,us,en
000154_,product,product,franchise,us,en
000165_,product,product,franchise,us,en
000174_,product,product,franchise,us,en
000206_,category,category,parent_product_category,us,en
000229_,category,category,product_category,us,en
000254_,product,product,franchise,us,en
000479_,product,product,franchise,us,en
000484_,category,category,product_category,us,en
000499_,category,category,config_category,us,en
000611_,product,product,franchise,us,en
000720_,product,product,franchise,us,en
000759_,product,product,franchise,us,en
000801_,product,product,franchise,us,en
000802_,product,product,franchise,us,en
000852_,product,product,franchise,us,en
000854_,product,product,franchise,us,en
001020_,product,product,franchise,us,en
001477_,product,product,franchise,us,en
001522_,category,category,product_category,us,en
001566_,category,category,product_category,us,en
001637_,category,category,franchise,us,en
001652_,category,category,franchise,us,en
001869_,category,category,parent_product_category,us,en
001953_,product,product,franchise,us,en
001961_,product,product,franchise,us,en
002077_,category,category,config_category,us,en
002089_,document,,,,en
002139_,product,product,franchise,us,en
002198_,document,,,,en
002269_,category,category,franchise,us,en
002316_,category,category,franchise,us,en
002380_,product,product,franchise,us,en
002455_,product,product,franchise,us,en
002636_,category,category,franchise,us,en
002645_,category,category,parent_product_category,us,en
002740_,product,product,franchise,us,en
002872_,product,product,franchise,us,en
002905_,product,product,franchise,us,en
002951_,product,product,franchise,us,en
003354_,document,,,,en
003650_,product,product,franchise,us,en
003776_,product,product,parent_product_category,us,en
003819_,category,category,franchise,us,en
003943_,category,category,franchise,us,en
004094_,product,product,parent_product_category,us,en
004145_,product,product,franchise,us,en
004261_,category,category,parent_product_category,us,en
004271_,document,,,,en
004279_,product,product,franchise,us,en
004401_,product,product,franchise,us,en
004436_,document,,,,en
004613_,document,,,,en
004627_,product,product,franchise,us,en
004634_,product,product,franchise,us,en
004638_,product,product,franchise,us,en
004653_,document,,,,en
004670_,product,product,franchise,us,en
004732_,product,product,franchise,us,en
004812_,category,category,config_category,us,en
004842_,product,product,franchise,us,en
004908_,category,category,config_category,us,en
004924_,category,category,product_category,us,en
004930_,category,category,franchise,us,en
004965_,product,product,franchise,us,en
004998_,product,product,franchise,us,en
005059_,product,product,franchise,us,en
005381_,document,,,,en
005692_,product,product,franchise,us,en
005700_,product,product,franchise,us,en
005730_,product,product,franchise,us,en
005792_,category,category,product_category,us,en
006063_,category,category,product_category,us,en
006067_,product,product,franchise,us,en
006212_,document,,,,en
006456_,document,,,,en
006467_,,,,,en
006572_,product,product,franchise,us,en
006600_,,,,,en
006634_,product,product,franchise,us,en
006635_,category,category,parent_product_category,us,en
006825_,product,product,franchise,us,en
006828_,document,,,,en
006931_,document,,,,en
007212_,category,category,config_category,us,en
007265_,category,category,parent_product_category,us,en
007350_,document,,,,en
007407_,product,product,franchise,us,en
007632_,product,product,franchise,us,en
007715_,category,category,parent_product_category,us,en
007716_,document,,,,en
007884_,product,product,franchise,us,en
007931_,category,category,franchise,us,en
008078_,product,product,franchise,us,en
008324_,category,category,franchise,us,en
008354_,category,category,product_category,us,en
